"roi_name","site","lat","lon","roitype","active","show_link","show_data_link","sequence_number","description","first_date","last_date","site_years","missing_data_pct","roi_page","roi_stats_file","one_day_summary","three_day_summary","data_release"
"arsgacp2_AG_1000","arsgacp2",31.4395,-83.591456,"AG",FALSE,TRUE,TRUE,1000,"entire AG land in FOV (too many FOV shifts, only common portion of FOV is used across images)","2016-04-28","2018-01-23","1.8","0.0","https://phenocam.nau.edu/webcam/roi/arsgacp2/AG_1000/","https://phenocam.nau.edu/data/archive/arsgacp2/ROI/arsgacp2_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsgacp2/ROI/arsgacp2_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsgacp2/ROI/arsgacp2_AG_1000_3day.csv",NA
"arsgacp3_AG_1000","arsgacp3",31.7563,-83.7516,"AG",TRUE,TRUE,TRUE,1000,"field in foreground","2018-04-17","2022-12-01","4.5","3.0","https://phenocam.nau.edu/webcam/roi/arsgacp3/AG_1000/","https://phenocam.nau.edu/data/archive/arsgacp3/ROI/arsgacp3_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsgacp3/ROI/arsgacp3_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsgacp3/ROI/arsgacp3_AG_1000_3day.csv",NA
"arsgacp4_AG_1000","arsgacp4",31.7093,-83.7287,"AG",TRUE,TRUE,TRUE,1000,"foreground agriculture","2018-06-22","2022-12-01","3.5","20.0","https://phenocam.nau.edu/webcam/roi/arsgacp4/AG_1000/","https://phenocam.nau.edu/data/archive/arsgacp4/ROI/arsgacp4_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsgacp4/ROI/arsgacp4_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsgacp4/ROI/arsgacp4_AG_1000_3day.csv",NA
"arsgreatbasinltar098_SH_1000","arsgreatbasinltar098",43.1675,-116.7132,"SH",TRUE,TRUE,TRUE,1000,"canopy level shrubland","2017-05-17","2022-10-26","5.4","1.0","https://phenocam.nau.edu/webcam/roi/arsgreatbasinltar098/SH_1000/","https://phenocam.nau.edu/data/archive/arsgreatbasinltar098/ROI/arsgreatbasinltar098_SH_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsgreatbasinltar098/ROI/arsgreatbasinltar098_SH_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsgreatbasinltar098/ROI/arsgreatbasinltar098_SH_1000_3day.csv",NA
"arsgreatbasinltar117_SH_1000","arsgreatbasinltar117",43.1432,-116.7357,"SH",TRUE,TRUE,TRUE,1000,"shrubs in foreground, avoid bare soil","2021-03-09","2022-05-05","1.2","0.0","https://phenocam.nau.edu/webcam/roi/arsgreatbasinltar117/SH_1000/","https://phenocam.nau.edu/data/archive/arsgreatbasinltar117/ROI/arsgreatbasinltar117_SH_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsgreatbasinltar117/ROI/arsgreatbasinltar117_SH_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsgreatbasinltar117/ROI/arsgreatbasinltar117_SH_1000_3day.csv",NA
"arsgreatbasinltar177_SH_1000","arsgreatbasinltar177",43.0645,-116.7484,"SH",TRUE,TRUE,TRUE,1000,"SH vegetation type in foreground.","2019-04-02","2022-08-09","3.1","8.0","https://phenocam.nau.edu/webcam/roi/arsgreatbasinltar177/SH_1000/","https://phenocam.nau.edu/data/archive/arsgreatbasinltar177/ROI/arsgreatbasinltar177_SH_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsgreatbasinltar177/ROI/arsgreatbasinltar177_SH_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsgreatbasinltar177/ROI/arsgreatbasinltar177_SH_1000_3day.csv",NA
"arsltarmdcr_AG_1000","arsltarmdcr",39.0587,-75.8513,"AG",TRUE,TRUE,TRUE,1000,"entire AG land in FOV","2017-05-11","2022-12-01","5.6","0.0","https://phenocam.nau.edu/webcam/roi/arsltarmdcr/AG_1000/","https://phenocam.nau.edu/data/archive/arsltarmdcr/ROI/arsltarmdcr_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsltarmdcr/ROI/arsltarmdcr_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsltarmdcr/ROI/arsltarmdcr_AG_1000_3day.csv",NA
"arsltarmdcrnatw_WL_1000","arsltarmdcrnatw",39.0575,-75.7531,"WL",TRUE,TRUE,TRUE,1000,"Wetland vegetation in foreground. DB veg in the background.","2019-03-15","2022-12-01","3.7","0.0","https://phenocam.nau.edu/webcam/roi/arsltarmdcrnatw/WL_1000/","https://phenocam.nau.edu/data/archive/arsltarmdcrnatw/ROI/arsltarmdcrnatw_WL_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsltarmdcrnatw/ROI/arsltarmdcrnatw_WL_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsltarmdcrnatw/ROI/arsltarmdcrnatw_WL_1000_3day.csv",NA
"arsltarmdcrnatw_WL_1001","arsltarmdcrnatw",39.0575,-75.7531,"WL",TRUE,TRUE,TRUE,1001,"Alternative ROI trying to avoid non-WL vegetation.","2019-03-15","2022-12-01","3.7","0.0","https://phenocam.nau.edu/webcam/roi/arsltarmdcrnatw/WL_1001/","https://phenocam.nau.edu/data/archive/arsltarmdcrnatw/ROI/arsltarmdcrnatw_WL_1001_roistats.csv","https://phenocam.nau.edu/data/archive/arsltarmdcrnatw/ROI/arsltarmdcrnatw_WL_1001_1day.csv","https://phenocam.nau.edu/data/archive/arsltarmdcrnatw/ROI/arsltarmdcrnatw_WL_1001_3day.csv",NA
"arsltarmdcrprcw_AG_1000","arsltarmdcrprcw",39.0667,-75.7609,"AG",TRUE,TRUE,TRUE,1000,"AG veg type in foreground of image.","2019-02-16","2022-12-01","3.8","0.0","https://phenocam.nau.edu/webcam/roi/arsltarmdcrprcw/AG_1000/","https://phenocam.nau.edu/data/archive/arsltarmdcrprcw/ROI/arsltarmdcrprcw_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsltarmdcrprcw/ROI/arsltarmdcrprcw_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsltarmdcrprcw/ROI/arsltarmdcrprcw_AG_1000_3day.csv",NA
